original_title,genres,overview,popularity,release_date,vote_average,vote_count,normalized_title
Avengers: Endgame,"['Adventure', 'Science Fiction', 'Action']","After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",171.111,2019-04-24,8.253,24996,avengersendgame
Jurassic World,"['Action', 'Adventure', 'Science Fiction', 'Thriller']","Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",80.44,2015-06-06,6.687,19998,jurassicworld
Star Wars: The Force Awakens,"['Adventure', 'Action', 'Science Fiction']","Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.",67.362,2015-12-15,7.281,18991,starwarstheforceawakens
Incredibles 2,"['Action', 'Adventure', 'Animation', 'Family']","Elastigirl springs into action to save the day, while Mr. Incredible faces his greatest challenge yet – taking care of the problems of his three children.",63.123,2018-06-14,7.468,12546,incredibles2
The Dark Knight,"['Drama', 'Action', 'Crime', 'Thriller']","Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",105.659,2008-07-16,8.515,32084,thedarkknight
Shrek 2,"['Animation', 'Family', 'Comedy', 'Fantasy', 'Adventure']","Shrek, Fiona, and Donkey set off to Far, Far Away to meet Fiona's mother and father, the Queen and King. But not everyone is happily ever after. Shrek and the King find it difficult to get along, and there's tension in the marriage. The Fairy Godmother discovers that Fiona has married Shrek instead of her son Prince Charming and plots to destroy their marriage.",122.868,2004-05-19,7.271,11933,shrek2
It,['Horror'],"In a small town in Maine, seven children known as The Losers Club come face to face with life problems, bullies and a monster that takes the shape of a clown called Pennywise.",180.652,2017-09-06,7.239,18652,it
Star Wars: The Force Awakens,"['Adventure', 'Action', 'Science Fiction']","Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.",67.362,2015-12-15,7.281,18991,starwarstheforceawakens
Frozen II,"['Family', 'Animation', 'Adventure', 'Comedy', 'Fantasy']","Elsa, Anna, Kristoff and Olaf head far into the forest to learn the truth about an ancient mystery of their kingdom.",103.042,2019-11-20,7.261,9484,frozenii
The Secret Life of Pets,"['Adventure', 'Comedy', 'Animation', 'Family']","The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.",13.608,2016-06-18,6.276,7890,thesecretlifeofpets
